Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Afghanistan,AFG,15.0772290691928,15.1551514638584,15.2651549540698,15.3802837381328,15.5207309036027,15.6705832996579,15.5590930592402,15.4641418203979,15.4080994288613,15.4097841905138,15.4791691530227,15.7576665541619,16.1153681700521,16.9633159983124,17.8529209153412,18.7877621423825,19.8164498588108,20.8923563076687,21.2470208683124,21.6073953406184,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Albania,ALB,41.7033063534259,41.4570037210832,41.4599356179542,41.6311105505533,41.8389698497931,42.031200735319,42.2165652808042,42.3645359687546,42.4748955229201,41.6066750324725,42.4440719305329,44.1715452470563,42.3026022898933,41.1829852763753,40.276432345784,41.132848207796,42.0254431479969,41.2450323247419,42.1906873360799,43.0442820386066,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Algeria,DZA,13.5235952915166,13.7340608666997,13.9845967152367,14.2900759039824,14.6123708478912,14.9775121347543,15.3733426597239,15.8007968387946,16.2742613804671,16.7688920350128,16.8828113903073,17.8318472855617,18.8328130006152,19.2147024577965,18.371112919593,19.037292445827,19.7066114447073,20.3956194331393,20.1269737982897,19.8824256301652,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Angola,AGO,49.0073684795451,49.0842896416524,49.1826556986135,49.2672005348567,49.364659626161,49.4761458637867,49.563598977809,49.6562440581185,49.7378406160272,49.787639863703,49.8501004856554,49.8665033297225,49.9128368002105,49.9564866618893,50.0088626790411,50.0503330372944,50.0976802172157,50.1536128233087,50.2029097291362,50.2702794331764,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Argentina,ARG,42.1748525199099,42.0121532205889,41.4879724234798,41.8348188679594,42.1904285799301,41.8458459479954,42.0747352222363,41.7849363397233,41.4966937607231,41.819390954225,41.384291075795,41.4472634098988,41.59410292636,41.4401138851693,41.2491895648997,41.6112460861779,41.9800646066168,42.3435878898742,43.00185746354,43.2696281048641,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Armenia,ARM,46.6504883729215,46.6719388645638,46.6351343086711,46.5687610346155,46.5026121312667,46.4379074235234,46.3898285505488,46.3659687812139,46.3355843986061,46.4410105194257,45.7026706445323,47.0284419539967,47.1138539469636,47.1844935335602,47.0565759485186,46.8369483784198,46.0487602248019,46.1497702223225,44.2315751276868,44.2254701998501,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Australia,AUS,43.6364264974587,43.9407759812431,44.0576982718365,44.4426702563856,44.3359607140006,44.6662531373435,44.8361846734195,44.9351895078456,45.0436439300021,45.1944728209886,45.087072706588,45.284899498895,45.4355597731855,45.5565097836964,45.7403895651126,45.9090786656018,46.161210624569,46.3398647873001,46.5003995878571,46.6416050867847,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Austria,AUT,43.5132706795941,43.7584164753744,44.2855434983684,44.3734760427788,45.1138619039408,45.2546090889699,45.4312489033029,45.4940930240603,45.7299864530735,46.0429019971538,46.1403778286113,46.336183969388,46.513702740732,46.58223336691,46.7059590828889,46.6778962583894,46.7016145970273,46.6178936064356,46.4289090724555,46.4177452767426,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Azerbaijan,AZE,49.2389394276817,49.1305032259277,49.010585194888,48.7776977362351,48.7964101621736,48.5937711804567,48.2924211773706,48.1064363085074,48.3791862767631,48.9963620386525,49.330073191355,49.0942250147771,48.9598740006103,48.8953196462828,48.9465716538119,49.0192579977786,48.7851478677457,48.7318300021257,48.7601176006575,48.6316284492429,..
"Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,""Bahamas, The"",BHS,47.9954376960365,48.1402795929365,48.2397139913955,48.1458616534391,48.1360567970205,48.1990178016324,48.275612593009,48.3062094773944,48.1985460549091,48.0275624461671,48.0769526032151,48.0798686265549,48.1753693320272,48.0738692036278,48.1052571774866,48.1216990255151,48.151865928721,48.1496610854244,48.1769934987395,48.2161610967548,.."
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Bahrain,BHR,21.2690451715129,21.4166254952083,21.435779855856,21.3605769103819,21.2367002935191,21.0943893137348,20.9075561242897,20.758181442521,20.6994525909933,20.798304866625,21.0660008653923,21.028644848178,21.280430505885,21.5729910060125,21.7501387941982,21.7324176869559,21.3869334200559,20.9220025371574,20.4930516306341,20.1482989122573,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Bangladesh,BGD,22.5114953603978,22.7075734269102,22.9130306321474,23.1166792744018,23.3254039408787,23.5454420431958,23.7404036476461,24.2552404868556,24.7879538139862,25.3144893640075,25.8302893893332,26.3206838666808,26.8075441766421,27.2885863147893,27.7669525537482,28.2609099930367,28.7483939126838,30.1741542878409,30.3646242460439,30.5146512175226,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Barbados,BRB,48.372734165001,48.4002378625182,48.4399174832388,48.4735089067789,48.5842224850184,48.6611777932083,48.7559073801881,48.8364606328182,48.929072343326,49.0021142479365,49.2435068766143,49.1486502355075,48.9600495591085,49.3357194265596,49.7771450619337,49.3876747391219,49.417940225076,49.4111807968235,49.3513851066432,49.3246285457001,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Belarus,BLR,48.7851810655922,48.9437896982622,49.070385030808,49.1722273375911,49.2633620831103,49.3347789230759,49.4362611402143,49.5156162864461,49.5778367783817,49.6267500287222,49.6415069615134,49.6745897111579,49.6829637107638,49.6759457709244,49.6790110595494,49.6608777716655,49.689822585099,49.4790332206321,49.0394798602708,48.9501644270228,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Belgium,BEL,42.9850613634133,42.3377946352479,42.777736656977,42.9842445948423,43.6433040449503,43.9442604454797,44.1968179195603,44.4693370556492,44.7377244061679,44.9319769733194,45.139582255773,45.2478227440596,45.2696287058381,45.6446976375443,45.9808448931588,46.0409311193835,45.9318161067521,45.838946131824,46.2109745229237,46.2256212439071,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Belize,BLZ,32.818713972921,33.4166239535281,34.0063414135215,34.5938787522072,35.184017616005,35.7770017235623,35.9327230443606,36.1180973209404,36.3359262600892,36.5577198195224,36.7856490779624,37.0093087158087,37.217033064602,37.421234547541,37.7343048735414,38.1098396710547,38.7841437619248,38.4958984989872,38.707449319074,38.7939125770984,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Benin,BEN,45.8696032560588,46.4481857901718,47.029059802981,47.3970940657941,47.7531156839074,48.102164767346,48.4699284291859,48.8315920625079,49.1830911555169,49.5181134846387,49.8267428028377,49.0839243342127,49.0746771453589,49.0841066736804,49.0953716333691,49.0978262959252,49.1084140018288,49.1294166192022,49.1739108505893,49.2267398793028,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Bhutan,BTN,42.9857871324726,43.0893174222863,43.094513049489,43.0555305455816,43.0212351857644,43.0304883581046,43.170628503577,43.3715961296615,43.60355888433,43.8345122097549,43.3973097621989,43.0478128687097,45.4961526994538,41.352897946884,40.042782267275,41.0794310207314,41.0898771162153,41.0236046406904,40.9131404306169,40.7937452374242,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Bolivia,BOL,42.1254219700696,42.3366215761297,42.5329636847516,42.723262004948,42.9157793563417,43.0927476923156,43.2762055851729,42.8490116273677,43.1799587310003,43.2725530229708,43.086517990723,42.9322847375771,42.0520218726652,42.4671214967303,42.7606205670195,40.7064910217764,42.1584802952969,42.9116027924733,44.1863124764811,44.3434253803641,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Bosnia and Herzegovina,BIH,38.6116653980676,38.4720827681987,38.3216800397725,38.1879459401372,38.0175001191024,36.9468380285948,36.8091850534873,36.3603813403053,37.0461554901433,37.6780747216327,38.3499616216642,38.7200278085185,38.5896308532491,38.8143805828315,39.7374092681626,39.6718133981183,39.0856576159815,39.6370400077651,39.2009172038619,40.5777545272955,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Botswana,BWA,44.9655275499337,45.2218057036926,45.4989040768342,45.7900777013894,46.0903330674413,46.3849407004264,46.6767867108389,46.614917643987,46.5992419282049,46.6504117888439,46.5241957508644,46.8029592521697,47.4265869556284,48.2020798313582,48.4940481941981,48.675248965709,48.7624344678393,48.8016871369489,48.8285977286631,48.8505234605059,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Brazil,BRA,39.9645701739251,40.6565413049667,41.30381456475,41.5585229708419,41.9539787713788,42.4410878861434,42.4941530380886,42.5140879825892,42.456207971929,42.6991379779674,42.3505803506146,41.9941288564279,42.266335182536,42.2856867082703,42.3803824487195,42.7181182565762,42.8662846250049,43.3808042720642,43.5782009991981,43.8971089497458,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Brunei Darussalam,BRN,40.7707290990337,41.203723830403,41.2166797185647,41.168275273305,41.1065637825541,41.0616736600428,41.1724034102631,41.2525965247783,41.3248409022036,41.3760618253816,41.4387126811992,41.5507050058494,41.6623790643947,41.7909484150042,41.9444648318043,42.1179476056202,42.3665650019062,42.6373874509583,42.0767015861608,41.5626728110599,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Bulgaria,BGR,45.9089410731685,46.9008011228147,46.9369251854118,46.2932560932685,46.422504750792,45.9763631907082,46.3846738010453,46.2901672268219,45.8379719118809,45.7900354113575,46.1984002323018,46.5096817092331,46.6459253035653,46.6540999617238,46.5220092809109,46.5281312567019,46.3201723322444,46.401345301497,46.1688195768872,46.1145121614692,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Burkina Faso,BFA,45.8339833681349,45.449405601426,45.0418162247673,44.630559252631,44.1888795467793,43.7424576303335,43.2751224671863,43.3461762626661,43.4291067806682,43.553424017467,43.7155871242433,43.8947231924511,44.1236965390322,44.3948908811745,44.7165542440015,44.7018308364429,44.6908387978537,44.693499434919,44.7037926074807,44.7308807648096,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Burundi,BDI,52.2155883479123,52.2113566629974,52.2034346365183,52.2042200968075,52.2041161991769,52.2052042176467,52.1910011869498,52.165127166261,52.141319695487,52.1161238723081,52.0980069414247,52.1044528386351,52.1158579914723,52.1292902316946,52.1409319745766,52.0638742523931,52.0021007890173,51.9360088222263,51.8935387204598,51.8576442357048,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Cabo Verde,CPV,40.0950300003468,40.323959686812,40.5313592271139,40.7129575383988,40.8547040290183,40.9499543291188,40.7771222645238,40.588172484138,40.4059892931873,40.2974854891551,40.2846366813881,40.6990285464028,41.1648621259801,41.6809077697249,42.2026590842784,42.7139349879061,43.2323915762672,43.7445376682398,43.9764789522598,44.2124790200524,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Cambodia,KHM,51.6465371010208,51.8302201594961,51.1724523704259,50.4519999135106,49.6559655797572,49.3942015995384,49.0739557615242,48.7716977953394,49.1690305651606,49.5748586514421,50.3032329934022,50.2867721395971,49.5303361642475,48.6417916190702,48.4473912063274,48.285660111821,48.4922123576145,48.9907258336308,48.9580993741552,48.9246148201904,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Cameroon,CMR,48.3262839569042,48.3420857813847,48.3617358423126,48.3852957447358,48.4010676476814,48.4107537163477,48.3929900827125,48.3804470082,47.9223218742105,47.4351365149757,46.8972177753002,46.8867366106281,46.8905293862469,46.901057527618,46.9167855460135,46.9555365825526,46.9874676336297,47.0172535074084,47.0710213203757,47.1302465982904,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Canada,CAN,45.7026413983033,45.8504944472694,46.0709401960114,46.3301894821133,46.4486623813509,46.4192351673806,46.6740593393456,46.8559603879221,46.8007917360491,47.0320496832804,47.1342097771277,47.092990405843,47.2264634427111,47.3136274729582,47.1899133012974,47.0530941410076,47.1730750791449,47.2720744187209,47.3633585738875,47.2403161014984,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Central African Republic,CAF,46.2601941436385,46.1882321824422,46.1270430515389,46.058999972343,46.0213757322134,45.9856894367308,45.8908233673385,45.8141360263544,45.7526740976499,45.724694370157,45.7200131360829,45.5952232558842,45.4991688492184,45.3795128189248,45.3319778886101,45.3208886868268,45.406620407736,45.5268715626714,45.6540411234418,45.7868530326777,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Chad,TCD,45.1156516866902,45.0484676814957,44.9859278321631,44.9503952256222,44.9593707733449,44.9752901781541,44.9313099794244,44.9199995040063,44.9361076668354,44.9765920932715,45.0302737022204,45.0515737615704,45.0979460933904,45.1582079907527,45.2382431163815,45.322997020139,45.3688101506808,45.4467215194306,45.5357212260721,45.6436207061007,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Channel Islands,CHI,43.0522011197717,43.5150452030765,44.6792412758671,45.0135444336323,45.0779918731157,44.6759591895387,44.3940991888338,43.9210355987055,44.0677750660972,44.6328671328671,44.7655843673378,43.9742570321042,44.0743303350796,44.1464913358732,44.1769323745223,44.2631279712582,44.3860722296187,44.5373261930489,44.6291289526272,44.7403353516535,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Chile,CHL,34.9650558875041,34.6130609732466,34.6904658285343,35.6463521899643,36.6220296898315,37.1279348458106,37.3786438111209,37.9401477819218,38.9859520022972,39.432866604239,39.8060361515768,40.5754509979441,40.799526680547,41.0703362127302,41.3932881710085,41.3156734127491,41.5815770174232,41.8766915222639,42.2243883948749,42.4429311617287,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,China,CHN,45.0920637187612,45.0055037105745,44.9247102616234,44.83923939636,44.7454622217103,44.6343308354697,44.523486886379,44.4166175721081,44.3052609354821,44.1980690391256,44.0790545732149,44.0388568431909,44.003030527219,43.9784078431355,43.9577728867652,43.9206923669717,43.8687861826298,43.7997275612534,43.7188283858858,43.634356429046,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Colombia,COL,41.0854608155262,41.2268443832547,41.4535186991132,41.8471206654177,41.4104850672724,41.0888108511737,40.8799368389799,40.6848007751534,40.7769731237932,41.7975347135361,42.2976634539801,42.4765050797116,42.958069149912,43.0986064067545,43.0525861859403,43.2566977537134,43.2084685551976,43.1682078199963,42.9411801027794,42.6774368031294,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Comoros,COM,38.4845917278604,38.7504574844455,39.0204341611181,39.3205419555274,39.6139481308248,39.2769785384589,38.9627296041241,38.6503452999617,38.3494115435688,38.0480557765196,37.7682137135895,37.4872741328717,37.2327400938464,36.9859887727625,36.7524380213841,36.9129652231314,37.0663735411076,37.2579674205055,37.468151961577,37.6803832306823,..
"Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,""Congo, Dem. Rep."",COD,50.2396807052363,50.1523330971839,50.0881100536417,50.0598492552821,50.0377321697489,50.0074949709873,49.8069937893491,49.584405338498,49.3547341924925,49.1266792983875,48.8709525258442,48.6262890383818,48.3662572411775,48.3560565651245,48.3602339847434,48.3716165330516,48.3484995561354,48.3704410740482,48.4141216084241,48.4651109758326,.."
"Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,""Congo, Rep."",COG,49.8680244537915,49.8056135139277,49.7560964462597,49.6699286780561,49.6069056801844,49.5455507547036,49.5013038525001,49.4033006612074,49.3438535491236,49.3025069505218,49.2861076737664,49.1649603581201,49.0723217534271,49.0090459823184,48.9960370226206,48.9643514074068,48.950825926522,48.9673797412042,49.0271402678719,49.0873572370709,.."
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Costa Rica,CRI,32.6315484690514,34.5486232458783,34.5959661663874,34.7708562488095,34.1732795735666,35.9467566071498,36.063811498205,36.4862419023022,36.9695837897989,37.5669312981883,37.4125449490972,37.8694677554557,39.6521740646436,39.58551293605,39.3051155672566,39.3193707648332,38.0140359490278,38.0855100830419,38.8907242797681,40.5262768521511,..
Labor force, female (% of total labor force),SL.TLF.TOTL.FE.ZS,Cote d'Ivoire,CIV,34.7496155662777,34.9700891357816,35.1961925437855,35.4440790790871,35.6904007567443,35.9547749018963,36.2185090635569,36.4932629974764,36.7741077811495,37.0609370931235,37.3490549521082,37.667452446523,37.9792028312193,38.3085754054801,38.6413606934837,38.985108259994,39.3483979090861,40.5430176920084,40.7808427344709,41.0169771639283,..
