Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Afghanistan,AFG,..,..,0.69346839,5.74640894,4.74049044,5.12772369,5.10300493,5.79983377,7.68390131,7.68092346,7.5287962,7.67875957,6.22403908,8.1515007,9.01887131,9.89198589,10.59370518,11.62788296,9.64153671,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Albania,ALB,105.4416275,115.82997894,117.79306793,130.01759338,149.1268158,152.514328,164.02250671,173.49252319,183.44218445,202.93984985,226.30688477,239.54103088,257.22418213,271.6781311,291.29629517,317.45037842,331.55731201,344.46563721,376.50137329,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Algeria,DZA,204.96343994,248.090271,252.20075989,267.39944458,258.82302856,247.08049011,261.39215088,317.27682495,369.62237549,467.18533325,449.96203613,485.34585571,590.01171875,592.80938721,675.42633057,723.35284424,672.49810791,639.97625732,633.79882813,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Andorra,AND,1267.42175293,1324.44104004,1485.30285645,1387.08288574,1355.44226074,1582.38757324,1410.48620605,1452.97509766,1755.52966309,1884.31530762,1957.13122559,1757.94030762,1801.9510498,1843.04882813,1970.13879395,2135.96728516,2118.06152344,2314.09936523,2450.40795898,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Angola,AGO,42.08817291,79.87310791,46.64072037,52.97556305,67.10604095,58.24981308,72.91181946,98.10597229,133.0411377,158.4402771,104.30112457,108.72756958,105.87734222,118.32983398,94.89759064,87.58914185,80.91677856,85.91679382,69.06031799,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Antigua and Barbuda,ATG,448.70767212,507.5401001,494.14208984,570.85205078,542.96502686,549.66345215,555.371521,570.96514893,535.03686523,502.6925354,631.50579834,616.12976074,637.69146729,638.21875,750.3536377,707.75622559,677.14581299,674.81359863,780.36248779,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Argentina,ARG,599.4197998,591.19262695,464.95974731,476.90737915,469.08868408,544.60925293,616.3092041,723.11004639,804.78143311,949.88867188,1028.82116699,1124.2557373,1211.86987305,1267.03430176,1266.93774414,1404.37512207,1127.64770508,1380.88635254,1221.78161621,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Armenia,ARM,22.2189064,35.1088829,35.51992416,42.70059967,52.26223373,70.5585022,88.98429108,106.66482544,108.10638428,114.61947632,110.71628571,117.43136597,120.71498108,110.0949707,126.53643036,140.52908325,144.22674561,132.04710388,127.96128082,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Australia,AUS,1548.13977051,1619.79345703,1753.99780273,1827.3190918,1973.50610352,2041.54333496,2158.94287109,2319.15771484,2384.91918945,2594.72045898,2595.69262695,2755.14379883,2691.58276367,2811.66821289,2882.70727539,2993.515625,3164.14428711,3253.35961914,3456.62744141,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Austria,AUT,2008.24731445,2033.92749023,2156.01074219,2247.93432617,2369.23046875,2456.83300781,2616.43554688,2737.48339844,2969.80517578,3054.04223633,3114.9777832,3246.04443359,3461.9284668,3569.08447266,3685.70825195,3772.07226563,3962.50195313,4106.328125,4296.74755859,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Azerbaijan,AZE,31.46759796,31.91956711,32.6701355,38.50465775,47.43091583,65.76702881,85.05381775,113.50727081,120.5304184,171.89250183,160.94116211,149.77285767,180.9445343,183.63136292,201.50318909,234.76741028,203.08232117,175.76141357,168.06996155,..,..
"Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,""Bahamas, The"",BHS,395.1020813,424.48226929,419.80136108,447.53128052,450.5524292,464.51797485,502.58026123,557.99627686,631.61071777,675.08007813,689.45501709,700.67382813,709.25006104,765.22955322,777.29492188,709.14703369,843.3571167,1183.10375977,1006.99780273,..,.."
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Bahrain,BHR,841.109375,899.54144287,914.32623291,904.84960938,845.31530762,826.49554443,827.06787109,872.28741455,880.37731934,1022.04638672,961.63586426,898.53344727,1120.45996094,1243.37255859,1328.47973633,1514.30419922,1407.59680176,1312.07836914,1150.37976074,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Bangladesh,BGD,8.19960308,6.52694559,8.27789593,8.91294575,9.44170475,9.57087135,11.03243732,12.22431183,11.84878922,12.17795753,13.90757942,15.31365871,16.0035038,15.88747025,16.38429832,16.06133842,15.01204777,16.23352432,18.61657524,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Barbados,BRB,345.07781982,365.31588745,397.11364746,493.60775757,592.03253174,563.47497559,596.35186768,552.90490723,615.23858643,639.77282715,585.30383301,546.08703613,713.66168213,632.1182251,553.99053955,555.20294189,564.2746582,546.23956299,539.00128174,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Belarus,BLR,262.16769409,288.91534424,297.3314209,350.89810181,405.45874023,472.87734985,474.51849365,532.4465332,522.90344238,511.41555786,602.48150635,533.44525146,616.32720947,655.97357178,642.05352783,681.58898926,763.35491943,756.78356934,797.38653564,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Belgium,BEL,1659.06628418,1772.18457031,1861.20202637,2102.79467773,2246.19506836,2296.10668945,2406.18774414,2500.45922852,2765.99291992,2988.30615234,3118.34912109,3244.73901367,3406.15087891,3511.05883789,3565.40893555,3661.84130859,3808.65771484,4016.13720703,4096.09082031,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Belize,BLZ,100.68981934,134.24505615,143.40441895,147.54338074,151.074646,162.16833496,186.0957489,229.24510193,277.02786255,270.95657349,285.34228516,287.55715942,283.39251709,297.92050171,319.26077271,337.75372314,348.49163818,331.50161743,347.32620239,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Benin,BEN,14.62675571,17.54781532,14.16220379,13.25998116,15.18810654,14.43446541,15.82168293,13.86164474,13.61098003,18.1163063,17.63847542,19.80764008,19.30373764,20.96465492,16.62581635,17.05869675,17.18834305,25.40541649,16.38282776,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Bhutan,BTN,90.49704742,95.2463913,97.8529129,92.42180634,105.59695435,98.5730896,100.28751373,125.74118042,121.78835297,144.48408508,154.06564331,161.72654724,177.0262146,189.6035614,187.55632019,231.45301819,234.41928101,234.42993164,256.22729492,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Bolivia,BOL,84.58966064,92.69559479,94.27758789,102.50931549,99.11487579,113.85504913,114.53623199,128.49859619,133.09309387,159.34739685,159.83930969,166.88061523,174.54194641,203.29144287,243.44940186,296.390625,316.60946655,332.68286133,353.0602417,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Bosnia and Herzegovina,BIH,187.46917725,207.58961487,229.77835083,298.89584351,306.8236084,311.92562866,358.99414063,419.23733521,476.96765137,553.99737549,573.31951904,625.50238037,670.42285156,724.12207031,760.15692139,776.16516113,838.06970215,859.83728027,908.59094238,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Botswana,BWA,272.4821167,298.96517944,338.83172607,340.33215332,333.11050415,296.09805298,311.35943604,375.146698,473.22497559,403.54168701,462.17105103,490.98199463,576.70477295,649.00250244,649.2767334,648.91314697,640.47930908,825.48181152,843.50067139,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Brazil,BRA,314.88043213,325.80303955,353.22610474,342.10842896,362.65927124,368.14346313,412.89477539,437.95480347,467.21408081,492.65805054,512.24145508,521.99914551,520.18798828,572.13989258,605.07434082,601.92529297,606.21899414,620.87280273,637.92169189,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Brunei Darussalam,BRN,1551.84997559,1577.13427734,1631.78588867,1710.74536133,1704.50366211,1531.03063965,1413.68652344,1494.03979492,1470.12487793,1846.8782959,1649.21081543,1407.64306641,1412.4934082,1414.71118164,1433.06481934,1818.72424316,1891.94250488,1713.41186523,1857.6505127,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Bulgaria,BGR,222.40563965,263.13790894,325.86413574,366.10546875,375.09066772,420.79284668,412.53613281,437.96740723,497.67599487,501.83917236,584.1260376,603.7890625,623.49517822,670.76538086,785.87792969,757.51763916,809.45288086,859.00665283,941.66809082,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Burkina Faso,BFA,9.2520256,9.97642899,11.10482979,10.97416115,19.8291893,15.51792622,19.29304695,20.32693672,20.50177765,24.89105225,20.48443985,22.30378723,18.56965637,29.38886261,30.60128784,28.18101501,49.93771744,55.86384583,47.48747635,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Burundi,BDI,8.36939526,9.85679913,9.23541737,7.95666885,14.5036459,12.72669411,15.33644581,16.43122864,10.75674248,14.48195267,14.26858139,25.65886116,20.35280228,12.15582371,22.62963676,18.49005699,14.22469139,14.67869377,16.16786575,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Cabo Verde,CPV,107.14517975,120.7723465,126.8167572,126.43966675,134.76942444,140.48492432,154.61148071,161.87619019,143.2467041,159.42494202,164.81480408,174.83494568,190.87094116,192.09295654,193.65505981,203.6509552,206.6665802,229.87049866,240.3788147,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Cambodia,KHM,14.14971256,14.04667377,17.64570808,20.33051109,20.9492321,21.41008568,18.92530632,21.36726379,24.13180923,28.49362946,33.67156219,34.01977921,40.23377228,43.62754059,40.92012405,47.24868011,49.9241333,43.80580521,55.55650711,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Cameroon,CMR,13.7553997,17.44749451,20.79647255,21.28403473,18.39687729,17.5496521,17.9670372,16.36364746,15.90377998,13.25043201,11.76877403,17.41093254,20.03895187,15.79033375,20.30179024,13.04211998,13.44036961,5.30351305,7.96273899,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Canada,CAN,1769.99743652,1905.79443359,1998.05517578,2141.88452148,2255.19384766,2403.17578125,2584.43920898,2710.71508789,2818.02612305,3042.84057617,3115.03369141,3154.48632813,3248.6472168,3380.92431641,3431.66210938,3501.77490234,3584.77856445,3677.53881836,3821.5534668,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Central African Republic,CAF,10.98624992,10.29330349,10.26791668,11.05545998,11.14526653,8.11841393,10.08743954,10.86904526,6.42653608,6.3404026,5.49458694,3.84610581,6.74595356,6.64371157,5.05191135,3.39488745,4.6817975,5.98519373,6.07482052,..,..
