Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Labor force, total,SL.TLF.TOTL.IN,Afghanistan,AFG,5071018,5293408,5573458,5886907,6198355,6483460,6644359,6770366,6887819,7028236,7214373,7522643,7890946,8307845,8741746,9175691,9567304,9948739,10319282,10701549,10657679
Labor force, total,SL.TLF.TOTL.IN,Albania,ALB,1343716,1319777,1313099,1300292,1286492,1271829,1260202,1247416,1234242,1226421,1225905,1371813,1314035,1232509,1243921,1302893,1328845,1344945,1400072,1422089,1408795
Labor force, total,SL.TLF.TOTL.IN,Algeria,DZA,8879547,9106753,9327491,9544295,9764165,9985163,10196156,10401602,10600180,10801298,11074293,11295173,11532685,12003272,11584916,11878706,12178730,12464049,12589369,12716547,12231856
Labor force, total,SL.TLF.TOTL.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labor force, total,SL.TLF.TOTL.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labor force, total,SL.TLF.TOTL.IN,Angola,AGO,6712511,6936309,7167726,7418810,7682024,7959563,8244252,8546325,8866362,9209591,9560071,9909985,10270963,10647310,11035038,11438809,11848868,12269158,12705650,13155274,13292780
Labor force, total,SL.TLF.TOTL.IN,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labor force, total,SL.TLF.TOTL.IN,Argentina,ARG,16313897,16513812,16594407,16979409,17375102,17521278,17832502,17855169,17879075,18227891,18221948,18556926,18771887,18931350,19008308,19361189,19696125,20034606,20551682,20877041,19180360
Labor force, total,SL.TLF.TOTL.IN,Armenia,ARM,1206967,1208857,1209974,1210962,1213377,1218020,1220593,1225416,1223865,1246646,1304217,1335949,1345566,1354996,1342620,1329444,1304793,1298429,1245626,1240430,1175581
Labor force, total,SL.TLF.TOTL.IN,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
